Date,Product,Region,Sales_Channel,Unit_Price,Quantity_Sold,Discount,Revenue,COGS,Profit,Payment_Status,ProfitMargin,Month,MonthName,Year
11/23/2024,Dangote 3X Cement,Lagos,Online,5775.03,134,0.42,770603.83,547321,223282.83,Paid,28.97504805,11,Nov,2024
10/29/2024,Dangote 42.5R Cement,Lagos,Wholesale,5893.7,139,1.52,806772.09,566881.31,239890.78,Pending,29.73464042,10,Oct,2024
11/28/2024,Dangote 42.5R Cement,Ogun,Retail,6389.27,434,2.61,2700569.36,2095319.75,605249.62,Pending,22.4119265,11,Nov,2024
12/23/2024,Dangote 42.5R Cement,Rivers,Retail,5955.48,410,1.01,2417085.16,1714377.07,702708.09,Paid,29.07254166,12,Dec,2024
7/2/2024,Dangote Sulfate Resistant Cement,Kano,Retail,7307.13,393,1.38,2832072.6,2017802.5,814270.1,Cash,28.75173821,7,Jul,2024
2/10/2024,Dangote Sulfate Resistant Cement,Kano,Retail,7077.35,380,0.21,2683745.27,2056087.92,627657.35,Credit,23.38736679,2,Feb,2024
2/10/2024,Dangote Premium Cement,Lagos,Retail,6277.97,345,2.5,2111752.16,1512575.03,599177.13,Credit,28.37345884,2,Feb,2024
4/17/2024,Dangote Sulfate Resistant Cement,Lagos,Online,7134.98,293,2.19,2044766.11,1464748.27,580017.85,Cash,28.36597531,4,Apr,2024
5/18/2024,Dangote Premium Cement,Rivers,Wholesale,6229.05,36,2.42,218819.05,161951.59,56867.47,Paid,25.9883543,5,May,2024
4/18/2024,Dangote Sulfate Resistant Cement,Ogun,Online,6999.23,472,2.74,3213116.92,2396616.31,816500.61,Credit,25.41148145,4,Apr,2024
3/12/2024,Dangote Premium Cement,Kano,Online,6262.74,319,1.29,1972042.26,1495504.74,476537.52,Credit,24.16467079,3,Mar,2024
4/22/2024,Dangote Premium Cement,Kano,Retail,6090.91,44,2.58,261085.64,186750.41,74335.22,Pending,28.47158503,4,Apr,2024
12/14/2024,Dangote 42.5R Cement,Kano,Wholesale,6184.77,325,2.99,1949949.75,1468139.46,481810.29,Paid,24.70885673,12,Dec,2024
12/14/2024,Dangote 3X Cement,Kano,Retail,6268.6,194,0.33,1212095.24,901164.36,310930.88,Cash,25.65234725,12,Dec,2024
